column,alpha_beta,alpha_delta,alpha_gamma,beta_delta,beta_gamma,delta_gamma,kappa_mean,kappa_min,kappa_max
general_reference,0.912,0.908,0.916,0.904,0.909,0.897,0.908,0.897,0.916
pipl_mention,0.938,0.926,0.933,0.914,0.922,0.922,0.926,0.914,0.938
sensitive_data,0.899,0.884,0.905,0.878,0.9,0.884,0.892,0.878,0.905
right_know_and_decide,0.871,0.872,0.898,0.871,0.867,0.868,0.875,0.867,0.898
right_access_and_copy,0.864,0.87,0.884,0.873,0.858,0.875,0.871,0.858,0.884
right_rectification,0.897,0.869,0.891,0.899,0.888,0.898,0.89,0.869,0.899
right_erasure,0.875,0.894,0.895,0.886,0.882,0.901,0.889,0.875,0.901
right_explanation,0.722,0.714,0.752,0.741,0.707,0.768,0.734,0.707,0.768
right_next_of_kin,0.769,0.714,0.761,0.741,0.729,0.714,0.738,0.714,0.769
right_convenient_exercise_and_remedy,0.86,0.836,0.859,0.854,0.853,0.847,0.851,0.836,0.86
resp_security_and_management,0.898,0.894,0.896,0.899,0.89,0.888,0.894,0.888,0.899
resp_protection_officer,0.799,0.65,0.788,0.758,0.768,0.649,0.735,0.649,0.799
resp_local_representative,0.799,0.719,0.736,0.558,0.842,0.582,0.706,0.558,0.842
resp_compliance_audits,0.768,0.745,0.752,0.801,0.793,0.787,0.774,0.745,0.801
resp_impact_assessment,0.827,0.881,0.814,0.845,0.847,0.814,0.838,0.814,0.881
resp_incident_response_and_notification,0.897,0.874,0.874,0.875,0.877,0.87,0.878,0.87,0.897
resp_platform_compliance,0.768,0.665,0.833,0.732,0.665,0.641,0.717,0.641,0.833
resp_outsourced_processing,0.79,0.793,0.804,0.778,0.789,0.791,0.791,0.778,0.804
kw_parental_consent_for_minors,0.841,0.855,0.871,0.865,0.88,0.88,0.865,0.841,0.88
kw_cross_border_transfer,0.809,0.831,0.848,0.807,0.852,0.788,0.823,0.788,0.852
kw_automated_decision_making_transparency,0.704,0.704,0.706,0.729,0.774,0.733,0.725,0.704,0.774
kw_de_identification,0.676,0.678,0.647,0.691,0.749,0.709,0.692,0.647,0.749
kw_anonymization,0.637,0.651,0.585,0.535,0.704,0.677,0.631,0.535,0.704
sector_agriculture_forestry_animal_husbandry_and_fishery,0.873,0.908,0.9,0.862,0.862,0.868,0.879,0.862,0.908
sector_mining,0.699,0.842,0.823,0.736,0.705,0.875,0.78,0.699,0.875
sector_manufacturing,0.855,0.859,0.864,0.859,0.849,0.832,0.853,0.832,0.864
sector_production_and_supply_of_electricity_heat_gas_and_water,0.783,0.815,0.737,0.874,0.799,0.789,0.799,0.737,0.874
sector_construction,0.571,0.582,0.633,0.577,0.682,0.654,0.617,0.571,0.682
sector_wholesale_and_retail_trade,0.826,0.812,0.799,0.84,0.835,0.815,0.821,0.799,0.84
sector_transportation_storage_and_postal_services,0.895,0.896,0.888,0.891,0.886,0.872,0.888,0.872,0.896
sector_accommodation_and_catering,0.812,0.807,0.798,0.798,0.807,0.811,0.806,0.798,0.812
sector_information_transmission_software_and_it_services,0.88,0.87,0.882,0.87,0.898,0.867,0.878,0.867,0.898
sector_financial_intermediation,0.875,0.875,0.896,0.902,0.893,0.879,0.887,0.875,0.902
sector_real_estate,0.741,0.711,0.667,0.674,0.704,0.708,0.701,0.667,0.741
sector_leasing_and_business_services,0.749,0.665,0.714,0.717,0.723,0.661,0.705,0.661,0.749
sector_scientific_research_and_technical_services,0.631,0.69,0.648,0.617,0.643,0.613,0.64,0.613,0.69
sector_water_conservancy_environment_and_public_facilities_management,0.644,0.683,0.637,0.666,0.655,0.643,0.655,0.637,0.683
sector_resident_services_repair_and_other_services,0.689,0.74,0.682,0.71,0.718,0.71,0.708,0.682,0.74
sector_education,0.865,0.879,0.873,0.867,0.876,0.862,0.87,0.862,0.879
sector_health_and_social_work,0.893,0.896,0.897,0.905,0.903,0.888,0.897,0.888,0.905
sector_culture_sports_and_entertainment,0.807,0.837,0.804,0.796,0.788,0.811,0.807,0.788,0.837
sector_public_administration_social_security_and_social_organizations,0.803,0.792,0.827,0.805,0.818,0.803,0.808,0.792,0.827
sector_international_organizations,0.399,0.199,0.444,0.499,-0.001,0.285,0.304,-0.001,0.499
solove_information_collection,0.886,0.871,0.883,0.867,0.876,0.867,0.875,0.867,0.886
solove_information_processing,0.9,0.891,0.912,0.894,0.894,0.893,0.897,0.891,0.912
solove_information_dissemination,0.826,0.807,0.835,0.792,0.821,0.81,0.815,0.792,0.835
solove_invasion,0.721,0.675,0.707,0.789,0.766,0.695,0.726,0.675,0.789
